Date;High;Low;Close;Average;Total;Turnover;Trades
1997-07-03;616,800;616,800;616,800;;;;0
1997-07-02;607,570;607,570;607,570;;;;0
1997-07-01;605,500;605,500;605,500;;;;0
1997-06-30;601,840;601,840;601,840;;;;0
1997-06-27;606,470;606,470;606,470;;;;0
1997-06-26;603,770;603,770;603,770;;;;0
1997-06-25;602,120;602,120;602,120;;;;0
1997-06-24;593,160;593,160;593,160;;;;0
1997-06-23;589,850;589,850;589,850;;;;0
1997-06-19;584,610;584,610;584,610;;;;0
1997-06-18;577,680;577,680;577,680;;;;0
1997-06-17;581,610;581,610;581,610;;;;0
1997-06-16;584,890;584,890;584,890;;;;0
1997-06-13;582,610;582,610;582,610;;;;0
1997-06-12;576,790;576,790;576,790;;;;0
1997-06-11;575,210;575,210;575,210;;;;0
1997-06-10;575,110;575,110;575,110;;;;0
1997-06-09;571,070;571,070;571,070;;;;0
1997-06-06;571,310;571,310;571,310;;;;0
1997-06-05;564,860;564,860;564,860;;;;0
1997-06-04;565,790;565,790;565,790;;;;0
1997-06-03;565,370;565,370;565,370;;;;0
1997-06-02;561,960;561,960;561,960;;;;0
1997-05-30;553,950;553,950;553,950;;;;0
1997-05-29;557,950;557,950;557,950;;;;0
1997-05-28;563,630;563,630;563,630;;;;0
1997-05-27;566,370;566,370;566,370;;;;0
1997-05-26;573,030;573,030;573,030;;;;0
1997-05-23;570,130;570,130;570,130;;;;0
1997-05-22;561,870;561,870;561,870;;;;0
1997-05-21;561,730;561,730;561,730;;;;0
1997-05-20;553,690;553,690;553,690;;;;0
1997-05-16;551,440;551,440;551,440;;;;0
1997-05-15;553,060;553,060;553,060;;;;0
1997-05-14;547,020;547,020;547,020;;;;0
1997-05-13;544,570;544,570;544,570;;;;0
1997-05-12;543,860;543,860;543,860;;;;0
1997-05-09;542,500;542,500;542,500;;;;0
1997-05-07;541,680;541,680;541,680;;;;0
1997-05-06;540,770;540,770;540,770;;;;0
1997-05-05;540,950;540,950;540,950;;;;0
1997-05-02;530,290;530,290;530,290;;;;0
1997-04-30;520,430;520,430;520,430;;;;0
1997-04-29;516,120;516,120;516,120;;;;0
1997-04-28;505,510;505,510;505,510;;;;0
1997-04-25;512,400;512,400;512,400;;;;0
1997-04-24;518,370;518,370;518,370;;;;0
1997-04-23;510,770;510,770;510,770;;;;0
1997-04-22;514,100;514,100;514,100;;;;0
1997-04-21;518,210;518,210;518,210;;;;0
1997-04-18;523,310;523,310;523,310;;;;0
1997-04-17;525,810;525,810;525,810;;;;0
1997-04-16;526,570;526,570;526,570;;;;0
1997-04-15;527,610;527,610;527,610;;;;0
1997-04-14;513,890;513,890;513,890;;;;0
1997-04-11;520,360;520,360;520,360;;;;0
1997-04-10;524,400;524,400;524,400;;;;0
1997-04-09;520,960;520,960;520,960;;;;0
1997-04-08;525,620;525,620;525,620;;;;0
1997-04-07;530,460;530,460;530,460;;;;0
1997-04-04;516,590;516,590;516,590;;;;0
1997-04-03;517,170;517,170;517,170;;;;0
1997-04-02;514,440;514,440;514,440;;;;0
1997-04-01;521,440;521,440;521,440;;;;0
1997-03-27;546,020;546,020;546,020;;;;0
1997-03-26;541,340;541,340;541,340;;;;0
1997-03-25;536,040;536,040;536,040;;;;0
1997-03-24;525,460;525,460;525,460;;;;0
1997-03-21;525,280;525,280;525,280;;;;0
1997-03-20;517,540;517,540;517,540;;;;0
1997-03-19;526,820;526,820;526,820;;;;0
1997-03-18;529,970;529,970;529,970;;;;0
1997-03-17;540,070;540,070;540,070;;;;0
1997-03-14;547,700;547,700;547,700;;;;0
1997-03-13;546,240;546,240;546,240;;;;0
1997-03-12;547,000;547,000;547,000;;;;0
1997-03-11;551,710;551,710;551,710;;;;0
1997-03-10;555,230;555,230;555,230;;;;0
1997-03-07;550,460;550,460;550,460;;;;0
1997-03-06;543,930;543,930;543,930;;;;0
1997-03-05;536,270;536,270;536,270;;;;0
1997-03-04;532,350;532,350;532,350;;;;0
1997-03-03;523,050;523,050;523,050;;;;0
1997-02-28;520,770;520,770;520,770;;;;0
1997-02-27;525,200;525,200;525,200;;;;0
1997-02-26;524,670;524,670;524,670;;;;0
1997-02-25;525,430;525,430;525,430;;;;0
1997-02-24;520,020;520,020;520,020;;;;0
1997-02-21;520,900;520,900;520,900;;;;0
1997-02-20;520,570;520,570;520,570;;;;0
1997-02-19;524,900;524,900;524,900;;;;0
1997-02-18;522,320;522,320;522,320;;;;0
1997-02-17;522,460;522,460;522,460;;;;0
1997-02-14;515,580;515,580;515,580;;;;0
1997-02-13;517,020;517,020;517,020;;;;0
1997-02-12;515,180;515,180;515,180;;;;0
1997-02-11;514,840;514,840;514,840;;;;0
1997-02-10;515,820;515,820;515,820;;;;0
1997-02-07;508,710;508,710;508,710;;;;0
1997-02-06;503,230;503,230;503,230;;;;0
1997-02-05;503,180;503,180;503,180;;;;0
1997-02-04;497,960;497,960;497,960;;;;0
1997-02-03;499,610;499,610;499,610;;;;0
1997-01-31;502,590;502,590;502,590;;;;0
1997-01-30;495,120;495,120;495,120;;;;0
1997-01-29;492,370;492,370;492,370;;;;0
1997-01-28;500,220;500,220;500,220;;;;0
1997-01-27;494,100;494,100;494,100;;;;0
1997-01-24;496,110;496,110;496,110;;;;0
1997-01-23;501,280;501,280;501,280;;;;0
1997-01-22;494,590;494,590;494,590;;;;0
1997-01-21;488,580;488,580;488,580;;;;0
1997-01-20;487,300;487,300;487,300;;;;0
1997-01-17;488,360;488,360;488,360;;;;0
1997-01-16;487,550;487,550;487,550;;;;0
1997-01-15;486,160;486,160;486,160;;;;0
1997-01-14;488,210;488,210;488,210;;;;0
1997-01-13;483,030;483,030;483,030;;;;0
1997-01-10;473,840;473,840;473,840;;;;0
1997-01-09;480,880;480,880;480,880;;;;0
1997-01-08;480,140;480,140;480,140;;;;0
1997-01-07;470,140;470,140;470,140;;;;0
1997-01-03;469,200;469,200;469,200;;;;0
1997-01-02;462,850;462,850;462,850;;;;0
1996-12-30;469,290;469,290;469,290;;;;0
1996-12-27;463,580;463,580;463,580;;;;0
1996-12-23;459,360;459,360;459,360;;;;0
1996-12-20;459,880;459,880;459,880;;;;0
1996-12-19;456,820;456,820;456,820;;;;0
1996-12-18;452,870;452,870;452,870;;;;0
1996-12-17;444,450;444,450;444,450;;;;0
1996-12-16;452,170;452,170;452,170;;;;0
1996-12-13;447,110;447,110;447,110;;;;0
1996-12-12;451,640;451,640;451,640;;;;0
1996-12-11;451,100;451,100;451,100;;;;0
1996-12-10;460,130;460,130;460,130;;;;0
1996-12-09;458,290;458,290;458,290;;;;0
1996-12-06;452,780;452,780;452,780;;;;0
1996-12-05;460,130;460,130;460,130;;;;0
1996-12-04;456,140;456,140;456,140;;;;0
1996-12-03;460,990;460,990;460,990;;;;0
1996-12-02;452,360;452,360;452,360;;;;0
1996-11-29;451,840;451,840;451,840;;;;0
1996-11-28;447,110;447,110;447,110;;;;0
1996-11-27;439,840;439,840;439,840;;;;0
1996-11-26;445,310;445,310;445,310;;;;0
1996-11-25;449,970;449,970;449,970;;;;0
1996-11-22;446,950;446,950;446,950;;;;0
1996-11-21;439,500;439,500;439,500;;;;0
1996-11-20;435,820;435,820;435,820;;;;0
1996-11-19;437,090;437,090;437,090;;;;0
1996-11-18;437,840;437,840;437,840;;;;0
1996-11-15;439,840;439,840;439,840;;;;0
1996-11-14;433,290;433,290;433,290;;;;0
1996-11-13;424,410;424,410;424,410;;;;0
1996-11-12;423,360;423,360;423,360;;;;0
1996-11-11;420,280;420,280;420,280;;;;0
1996-11-08;420,620;420,620;420,620;;;;0
1996-11-07;421,610;421,610;421,610;;;;0
1996-11-06;423,200;423,200;423,200;;;;0
1996-11-05;421,950;421,950;421,950;;;;0
1996-11-04;418,310;418,310;418,310;;;;0
1996-11-01;417,850;417,850;417,850;;;;0
1996-10-31;416,460;416,460;416,460;;;;0
1996-10-30;414,340;414,340;414,340;;;;0
1996-10-29;418,530;418,530;418,530;;;;0
1996-10-28;427,890;427,890;427,890;;;;0
1996-10-25;425,080;425,080;425,080;;;;0
1996-10-24;421,870;421,870;421,870;;;;0
1996-10-23;421,670;421,670;421,670;;;;0
1996-10-22;426,120;426,120;426,120;;;;0
1996-10-21;426,960;426,960;426,960;;;;0
1996-10-18;425,960;425,960;425,960;;;;0
