"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2007","5,187.73","5,181.18","5,250.09","5,032.58","5.26B","-2.40%"
"Nov 13, 2007","5,158.12","5,239.34","5,311.70","5,085.44","4.92B","-0.57%"
"Nov 14, 2007","5,412.69","5,246.57","5,414.61","5,165.06","5.10B","4.94%"
"Nov 15, 2007","5,365.27","5,391.02","5,453.74","5,338.90","4.78B","-0.88%"
"Nov 16, 2007","5,316.27","5,273.08","5,335.51","5,224.31","3.74B","-0.91%"
"Nov 19, 2007","5,269.82","5,325.30","5,333.09","5,240.42","4.11B","-0.87%"
"Nov 20, 2007","5,293.70","5,230.74","5,338.17","5,158.54","4.91B","0.45%"
"Nov 21, 2007","5,214.23","5,307.79","5,344.93","5,206.57","4.12B","-1.50%"
"Nov 22, 2007","4,984.16","5,113.88","5,154.86","4,969.89","4.04B","-4.41%"
"Nov 23, 2007","5,032.13","4,946.26","5,034.23","4,896.99","3.09B","0.96%"
"Nov 26, 2007","4,958.85","5,102.53","5,124.89","4,952.43","3.68B","-1.46%"
"Nov 27, 2007","4,861.11","4,919.91","4,947.08","4,857.04","3.08B","-1.97%"
"Nov 28, 2007","4,803.39","4,870.84","4,907.76","4,778.73","3.28B","-1.19%"
"Nov 29, 2007","5,003.33","4,870.86","5,011.19","4,814.78","5.01B","4.16%"
"Nov 30, 2007","4,871.78","4,993.74","4,993.74","4,861.86","4.33B","-2.63%"
"Dec 03, 2007","4,868.61","4,838.56","4,899.67","4,798.01","5.38B","-0.07%"
"Dec 04, 2007","4,915.89","4,882.15","4,971.40","4,882.15","4.28B","0.97%"
"Dec 05, 2007","5,042.65","4,917.36","5,052.75","4,893.32","5.43B","2.58%"
"Dec 06, 2007","5,035.07","5,055.84","5,065.51","4,995.47","4.32B","-0.15%"
"Dec 07, 2007","5,091.76","5,038.48","5,096.80","5,021.37","5.00B","1.13%"
"Dec 10, 2007","5,161.92","5,010.83","5,168.76","4,990.72","6.88B","1.38%"
"Dec 11, 2007","5,175.08","5,180.54","5,209.70","5,103.75","6.68B","0.25%"
"Dec 12, 2007","5,095.54","5,148.25","5,149.93","5,054.56","7.22B","-1.54%"
"Dec 13, 2007","4,958.04","5,078.18","5,095.15","4,954.36","6.73B","-2.70%"
"Dec 14, 2007","5,007.91","4,899.75","5,011.20","4,860.16","5.31B","1.01%"
"Dec 17, 2007","4,876.76","5,007.28","5,007.35","4,874.62","6.35B","-2.62%"
"Dec 18, 2007","4,836.17","4,856.47","4,905.49","4,812.16","4.06B","-0.83%"
"Dec 19, 2007","4,941.78","4,878.07","4,960.42","4,868.35","5.63B","2.18%"
"Dec 20, 2007","5,043.53","4,965.29","5,050.78","4,923.30","5.77B","2.06%"
"Dec 21, 2007","5,101.78","5,017.19","5,112.39","5,013.76","6.61B","1.15%"
"Dec 24, 2007","5,234.26","5,132.91","5,284.34","5,104.65","8.51B","2.60%"
"Dec 25, 2007","5,201.18","5,233.18","5,254.40","5,178.80","7.10B","-0.63%"
"Dec 26, 2007","5,233.35","5,209.03","5,262.59","5,158.76","7.45B","0.62%"
"Dec 27, 2007","5,308.89","5,248.22","5,316.52","5,203.50","8.73B","1.44%"
"Dec 28, 2007","5,261.56","5,320.01","5,336.50","5,248.69","7.72B","-0.89%"
"Jan 02, 2008","5,272.81","5,265.00","5,295.02","5,201.89","7.66B","0.21%"
"Jan 03, 2008","5,319.86","5,269.80","5,321.46","5,211.05","9.85B","0.89%"
"Jan 04, 2008","5,361.57","5,328.41","5,372.46","5,318.46","8.09B","0.78%"
"Jan 07, 2008","5,393.34","5,357.45","5,403.35","5,332.60","9.19B","0.59%"
"Jan 08, 2008","5,386.53","5,414.56","5,480.07","5,344.65","10.25B","-0.13%"
"Jan 09, 2008","5,435.81","5,365.22","5,437.76","5,346.85","7.68B","0.91%"
"Jan 10, 2008","5,456.54","5,449.16","5,483.83","5,407.31","9.66B","0.38%"
"Jan 11, 2008","5,484.68","5,471.39","5,500.06","5,423.81","8.77B","0.52%"
"Jan 14, 2008","5,497.90","5,507.58","5,522.78","5,456.93","7.87B","0.24%"
"Jan 15, 2008","5,443.79","5,503.93","5,505.03","5,405.60","8.07B","-0.98%"
